EbNo(dB),ESN_uncoded,MMSE_uncoded,ESN_coded,MMSE_coded
0,0.39302734375,0.31915364583333333,0.612134583563155,0.686532450818165
3,0.36567057291666666,0.26128580729166667,0.6297113439970583,0.7355396212539069
6,0.3192903645833333,0.18543619791666666,0.6670527670527671,0.8131274131274131
9,0.28446614583333335,0.12823893229166666,0.7097168597168597,0.9154624011766869
12,0.233359375,0.06260416666666667,0.7652417723846295,0.9996138996138996
15,0.22681640625,0.061061197916666664,0.7685420113991542,0.9995771281485567
18,0.17923828125,0.03469075520833333,0.8273303916161059,1.0
21,0.157880859375,0.026041666666666668,0.8759882331310903,1.0
24,0.15314127604166666,0.021315104166666668,0.8690935833792977,1.0
27,0.15845052083333333,0.020159505208333334,0.8694245265673837,1.0
30,0.13111328125,0.020224609375,0.9048630262915978,1.0
